feature,importance,importance_type,horizon
pm25_roll_mean_3h,9323089.6955,gain,+1h
pm25_lag_1h,5270428.0887,gain,+1h
wind_speed_10m,2008797.4554,gain,+1h
hour_cos,820430.0396,gain,+1h
relative_humidity_2m,731527.8581,gain,+1h
pm25_roll_median_3h,698534.3638,gain,+1h
wind_u,653652.2137,gain,+1h
temperature_2m,645941.2725,gain,+1h
pm25_lag_3h,591216.5878,gain,+1h
pm25_lag_12h,518039.4922,gain,+1h
boundary_layer_height,465229.7803,gain,+1h
pm25_lag_24h,416679.3721,gain,+1h
hour_sin,307204.1351,gain,+1h
pm25_lag_6h,295703.0961,gain,+1h
surface_pressure,253499.3734,gain,+1h
pm25_roll_median_24h,213649.43,gain,+1h
pm25_roll_mean_24h,193201.2158,gain,+1h
wind_direction_10m,187842.4267,gain,+1h
pm25_roll_mean_6h,158267.9287,gain,+1h
pm25_roll_median_6h,142758.3912,gain,+1h
day_of_week_sin,69814.8766,gain,+1h
wind_v,61519.762,gain,+1h
day_of_week_cos,15121.4127,gain,+1h
latitude,0.0,gain,+1h
longitude,0.0,gain,+1h
month_sin,0.0,gain,+1h
month_cos,0.0,gain,+1h
pm25_roll_median_3h,4860711.7094,gain,+3h
wind_speed_10m,3478578.9057,gain,+3h
pm25_roll_mean_3h,3378383.918,gain,+3h
pm25_lag_12h,1684967.2715,gain,+3h
boundary_layer_height,1338227.0884,gain,+3h
hour_cos,1274711.6458,gain,+3h
pm25_roll_mean_6h,1001589.5033,gain,+3h
relative_humidity_2m,841208.6043,gain,+3h
hour_sin,729713.0017,gain,+3h
temperature_2m,725763.2681,gain,+3h
pm25_roll_median_24h,689886.6432,gain,+3h
surface_pressure,650828.6654,gain,+3h
pm25_lag_6h,592585.8532,gain,+3h
pm25_lag_24h,563286.9331,gain,+3h
pm25_lag_3h,526941.509,gain,+3h
wind_v,453091.8876,gain,+3h
pm25_lag_1h,421204.3908,gain,+3h
pm25_roll_mean_24h,394047.9737,gain,+3h
wind_u,377130.52,gain,+3h
day_of_week_sin,361021.9907,gain,+3h
pm25_roll_median_6h,293020.2663,gain,+3h
wind_direction_10m,290627.028,gain,+3h
day_of_week_cos,253398.3237,gain,+3h
latitude,0.0,gain,+3h
longitude,0.0,gain,+3h
month_sin,0.0,gain,+3h
month_cos,0.0,gain,+3h
wind_speed_10m,4571021.949,gain,+6h
pm25_roll_median_24h,1919036.3373,gain,+6h
day_of_week_sin,1578923.2094,gain,+6h
relative_humidity_2m,1576053.923,gain,+6h
hour_cos,1471630.057,gain,+6h
pm25_roll_mean_6h,1460898.2585,gain,+6h
pm25_lag_24h,1233515.3036,gain,+6h
pm25_roll_mean_3h,1149704.2688,gain,+6h
hour_sin,921090.7076,gain,+6h
pm25_roll_median_6h,861400.4304,gain,+6h
boundary_layer_height,732177.0262,gain,+6h
pm25_lag_12h,665286.3975,gain,+6h
surface_pressure,600077.9473,gain,+6h
wind_u,586216.642,gain,+6h
pm25_roll_mean_24h,517921.2876,gain,+6h
temperature_2m,509781.7084,gain,+6h
wind_direction_10m,428372.904,gain,+6h
day_of_week_cos,279541.9377,gain,+6h
pm25_roll_median_3h,260548.5494,gain,+6h
pm25_lag_1h,256457.5396,gain,+6h
pm25_lag_3h,244754.8312,gain,+6h
pm25_lag_6h,236457.8488,gain,+6h
wind_v,97494.879,gain,+6h
latitude,0.0,gain,+6h
longitude,0.0,gain,+6h
month_sin,0.0,gain,+6h
month_cos,0.0,gain,+6h
