latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.12963,100.49166,333.47,0.45,0.63,2026-09-12,0603,N,nominal,2.0NRT,286.83,5.39,D
17.18397,99.96063,350.34,0.43,0.62,2026-09-12,0603,N,nominal,2.0NRT,290.98,7.6,D
19.61632,101.19637,353.12,0.32,0.55,2026-09-12,0603,N,nominal,2.0NRT,290.76,8.07,D
19.61574,101.19355,340.75,0.32,0.55,2026-09-12,0603,N,nominal,2.0NRT,290.47,5.33,D
19.91723,99.26624,325.39,0.42,0.61,2026-09-12,0603,N,nominal,2.0NRT,294.65,3.34,D
20.47334,100.11913,346.06,0.36,0.57,2026-09-12,0605,N,nominal,2.0NRT,293.72,4.52,D
21.61224,99.39736,341.59,0.38,0.59,2026-09-12,0605,N,nominal,2.0NRT,288.47,5.69,D
21.61145,99.39375,345.29,0.38,0.59,2026-09-12,0605,N,nominal,2.0NRT,288.81,5.69,D
27.72672,96.28129,333.96,0.43,0.62,2026-09-12,0608,N,nominal,2.0NRT,288.25,4.11,D
27.73226,96.2794,345.79,0.43,0.62,2026-09-12,0608,N,nominal,2.0NRT,287.82,4.11,D
6.18458,81.1745,337.5,0.49,0.49,2026-09-12,0741,N,nominal,2.0NRT,290.02,3.36,D
6.5824,81.02856,331.75,0.49,0.49,2026-09-12,0741,N,nominal,2.0NRT,295.24,7.64,D
6.70239,81.3877,334.12,0.47,0.47,2026-09-12,0741,N,nominal,2.0NRT,295.26,8.09,D
6.61972,80.86633,339.45,0.51,0.49,2026-09-12,0741,N,nominal,2.0NRT,295.62,3.15,D
6.61907,80.86243,330.11,0.51,0.49,2026-09-12,0741,N,nominal,2.0NRT,294.25,3.15,D
6.8061,81.54609,341.46,0.45,0.47,2026-09-12,0741,N,nominal,2.0NRT,295.5,5.9,D
7.01647,81.61634,333.31,0.45,0.47,2026-09-12,0741,N,nominal,2.0NRT,298.67,5.07,D
6.98819,81.45032,342.17,0.46,0.47,2026-09-12,0741,N,nominal,2.0NRT,298.28,6.93,D
7.05813,81.78476,337.76,0.43,0.46,2026-09-12,0741,N,nominal,2.0NRT,297.91,4.8,D
7.05747,81.78086,341.89,0.43,0.46,2026-09-12,0741,N,nominal,2.0NRT,297.46,4.8,D
